Date,   Guinea   ,   Liberia   ,   Sierra Leone   ,   Nigeria   
2014-03-22,86,0,0,0
2014-03-24,86,0,0,0
2014-03-25,86,0,0,0
2014-03-26,103,0,2,0
2014-03-27,112,0,2,0
2014-03-28,112,0,2,0
2014-03-29,122,0,8,0
2014-03-31,127,0,8,0
2014-04-01,151,0,12,0
2014-04-07,158,0,12,0
2014-04-09,158,0,12,0
2014-04-10,158,0,12,0
2014-04-11,168,0,12,0
2014-04-14,197,0,12,0
2014-04-16,203,0,12,0
2014-04-17,208,0,12,0
2014-04-20,208,0,12,0
2014-04-21,218,0,12,0
2014-04-23,218,0,12,0
2014-04-24,221,0,12,0
2014-04-30,226,0,12,0
2014-05-01,226,0,12,0
2014-05-02,231,0,12,0
2014-05-03,233,0,12,0
2014-05-07,233,0,12,0
2014-05-10,248,0,12,0
2014-05-12,253,0,12,0
2014-05-18,258,0,12,0
2014-05-23,281,16,12,0
2014-05-27,291,16,12,0
2014-05-28,291,50,12,0
2014-05-29,328,79,12,0
2014-06-01,344,79,12,0
2014-06-03,351,81,12,0
2014-06-05,351,89,12,0
2014-06-06,372,89,12,0
2014-06-10,390,95,33,0
2014-06-15,390,95,33,0
2014-06-16,390,97,33,0
2014-06-17,390,158,33,0
2014-06-20,390,158,51,0
2014-06-22,406,239,107,0
2014-06-30,406,252,115,0
2014-07-02,406,305,131,0
2014-07-06,406,337,142,0
2014-07-08,406,386,172,0
2014-07-12,410,397,174,0
2014-07-14,410,442,196,0
2014-07-17,415,454,224,0
2014-07-20,427,525,249,0
2014-07-23,460,533,329,1
2014-07-27,472,574,391,3
2014-07-30,485,646,468,4
2014-08-01,495,691,516,9
2014-08-04,495,717,554,12
2014-08-06,506,730,599,12
2014-08-09,510,783,670,12
2014-08-11,519,810,786,12
2014-08-13,543,848,834,15
2014-08-16,579,907,972,15
2014-08-18,607,910,1082,16
2014-08-20,648,1026,1378,19
2014-08-25,771,1216,1698,20
2014-08-31,823,1292,1863,20
2014-09-03,861,1424,2081,20
2014-09-07,899,1509,2415,20
2014-09-10,942,1655,2720,20
2014-09-14,965,1753,3022,20
2014-09-17,1022,1940,3280,20
2014-09-21,1074,2021,3458,20
2014-09-23,1103,2120,3564,20
2014-09-25,1157,2317,3696,20
